"Volunteer" "ActivityName" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
1 "LAYING" 0.2740438944 -0.013183398878 -0.107666793106 -0.82238867156 -0.7511561861 -0.803739248 0.6552127746 -0.0954754178 -0.007271574308 -0.9729946254 -0.94137205206 -0.9341613418 0.073322079422 0.011173295226 -0.01677143354348 -0.854409829 -0.8448665504 -0.9057942998 -0.071704701012 -0.0563545942288 0.10111520496 -0.8768218781 -0.8713969166 -0.82111502142 -0.10790298516 -0.0387607614328 -0.055727104478 -0.8745422894 -0.9230504206 -0.8852577684 -0.78344703536 -0.76906294996 -0.78344703536 -0.76906294996 -0.8615630868 -0.8496040682 -0.808538184538 -0.8556328128 -0.9059648738 -0.9055546292 -0.8402585968 -0.78167955692 -0.8461099334 -0.81626022254 -0.7522916682 -0.7973288302 -0.8602711114 -0.8507967136 -0.8983945692 -0.8612883036 -0.849172955 -0.9119229598 -0.8418993204 -0.8829688062 -0.8271283748 -0.88825644332 -0.8667351038 -0.836192502 -0.78806108288 -0.79549272426 -0.8473711572 -0.8531118284 -0.8714490986 -0.8708399598 -0.9073181656 -0.909853847
1 "SITTING" 0.256032011914894 -0.020574532152766 -0.0982337961106383 -0.556697305406383 -0.44556914412766 -0.49255326587234 0.728672617191489 -0.00841636825531915 0.0283982259787234 -0.936881987234043 -0.944288597659575 -0.92867849287234 0.0982726587021277 0.00882260244914894 -0.0251067899617872 -0.623565219723404 -0.599301473276596 -0.727021283085106 -0.0114375163914894 -0.0859742505319149 0.0523757158489362 -0.731351023765957 -0.60128489987234 -0.58464312312766 -0.0784738798297872 -0.0442225574914894 -0.0476631904617021 -0.791276611489362 -0.791223096212766 -0.749781978297872 -0.472416962474468 -0.527788335555319 -0.472416962474468 -0.527788335555319 -0.624524714319149 -0.61207190112766 -0.538996879723404 -0.614538222531915 -0.776540648297872 -0.809756064531915 -0.592052543765957 -0.500734397489362 -0.609228341697872 -0.544356131229787 -0.455378314619149 -0.477394356680851 -0.644740168510638 -0.62140581512766 -0.707890448510638 -0.636055618957447 -0.602692051829787 -0.746017157 -0.707519671702128 -0.680188931957447 -0.616471453523404 -0.741282434276596 -0.568208820595745 -0.615367659361702 -0.538418461010638 -0.597397370553192 -0.595381191191489 -0.637383421170213 -0.686248936617021 -0.63619929 -0.805505264085106 -0.82946600787234
1 "STANDING" 0.274509036792453 -0.0168673136226415 -0.106911948716981 -0.987432108679245 -0.977357092830189 -0.974305000754717 -0.216215108301887 0.74522386245283 0.588415016415094 -0.982795341132075 -0.987597006792453 -0.975821918490566 0.0748380323584906 0.0110533865367925 -0.000741049095849057 -0.989865751509434 -0.983262832641509 -0.989866688301887 -0.0308683591332906 -0.091236173245283 0.0922983230566038 -0.984146721132075 -0.981505181698113 -0.988126266603774 -0.0954228278679245 -0.0386697037433962 -0.0550040390377358 -0.990246369622642 -0.991990159433962 -0.993505233018868 -0.979415353962264 -0.978273283018868 -0.979415353962264 -0.978273283018868 -0.989075059811321 -0.989296520188679 -0.972362433962264 -0.974334573962264 -0.992925046226415 -0.992091886226415 -0.987696131698113 -0.97843222245283 -0.980894679811321 -0.987335111886792 -0.977452322830189 -0.972065405849057 -0.989795512641509 -0.983088013962264 -0.988052978679245 -0.990895058113208 -0.984738336415094 -0.990273593018868 -0.981718521886792 -0.984891146792453 -0.988713359245283 -0.984941891320755 -0.979824981698113 -0.988962181509434 -0.981946485849057 -0.978882067169811 -0.988796933773585 -0.988707820377358 -0.981480426981132 -0.974198892264151 -0.992162799433962 -0.992200438301887
1 "WALKING" 0.269690618694737 -0.0195118818436842 -0.111126475149474 -0.417350862484211 -0.336436843332632 -0.527031867744211 0.688876849273684 -0.0836831527389474 0.136493853370284 -0.961231210842105 -0.950841124557895 -0.938365835684211 0.0377222466042105 0.0115039248668105 -0.00743932372536842 -0.414155270995789 -0.427184521356211 -0.693973976810526 -0.0217039600968421 -0.0763832639926316 0.100771516134737 -0.624289443070526 -0.57079871272 -0.508141489753684 -0.116781637656842 -0.0491106935842105 -0.0490627965189474 -0.630014208736842 -0.730737147263158 -0.610522471978947 -0.371875811164695 -0.431807815463958 -0.371875811164695 -0.431807815463958 -0.469534070808421 -0.429378941703158 -0.460867193241053 -0.583422147101895 -0.679482101684211 -0.717551594947368 -0.428768954852632 -0.352957623095789 -0.577313825147368 -0.414260062231579 -0.37149224834 -0.539489258140842 -0.441918364963158 -0.449785464807368 -0.663232256978947 -0.438377909034 -0.443395574723158 -0.724088117473684 -0.543706413535895 -0.606734966136842 -0.484035733304211 -0.651436829147368 -0.557262907715789 -0.562464132696842 -0.402902729161053 -0.539207380484211 -0.414957695434737 -0.454192315835789 -0.611039204821053 -0.639220344452632 -0.719550092105263 -0.736252512842105
1 "WALKING_DOWNSTAIRS" 0.264005749979592 -0.0208489154526531 -0.110560327559184 -0.614020993571429 -0.485780784693878 -0.640818293877551 0.626441571428571 0.0217683336734694 0.0886882590816327 -0.971520087142857 -0.961967805306122 -0.943422790816327 0.101721492447551 0.0146090595857143 0.00224660769795919 -0.641175598653061 -0.552019264693878 -0.769732752244898 -0.0203637972002041 -0.0758584603877551 0.0970564247755102 -0.69541686985102 -0.730238077346939 -0.687298047346939 -0.0971750425510204 -0.0400693051020408 -0.0832775058914286 -0.687864921571429 -0.789718169530612 -0.719501815306122 -0.55686946555102 -0.596351999877551 -0.55686946555102 -0.596351999877551 -0.644313896530612 -0.597046506428571 -0.629402933 -0.648464080265306 -0.758603339795918 -0.752684442285714 -0.626401966897959 -0.509871233857143 -0.683994183387755 -0.610289758653061 -0.506347382867347 -0.646557199755102 -0.656337793469388 -0.58309698657551 -0.751502541979592 -0.65767532 -0.548514652885714 -0.786771966530612 -0.652229702061224 -0.738077286755102 -0.649731596836735 -0.711760150469388 -0.729103116122449 -0.730850337755102 -0.593433696795918 -0.661018654897959 -0.599507985802041 -0.597766984530612 -0.690346024183673 -0.684844593681633 -0.767553253 -0.752518677244898
1 "WALKING_UPSTAIRS" 0.264038501037736 -0.00635171266792453 -0.102312975358491 -0.859343857358491 -0.739387208566038 -0.849442693207547 0.890412140754717 -0.156988264981132 0.0911577568215094 -0.972269129811321 -0.946647847169811 -0.948908331132076 0.0877970907301887 -0.00765580386415094 -0.019901975416717 -0.856202384924528 -0.803949707320755 -0.912584811320755 -0.0405611939111321 -0.0739330093890566 0.0866974077358491 -0.869841064716981 -0.875247678679245 -0.855686297735849 -0.0869019467735849 -0.0569820028679245 -0.0560421494490566 -0.866688392962264 -0.925877468113208 -0.867462698490566 -0.810380795007547 -0.808672875018868 -0.810380795007547 -0.808672875018868 -0.851683171203774 -0.842718718978679 -0.82741114509434 -0.839710423018868 -0.899156736226415 -0.911991617169811 -0.862861025471698 -0.767018222981132 -0.866344839245283 -0.85814684509434 -0.742472462528302 -0.853594167169811 -0.864102496396226 -0.822930360490566 -0.903475040943396 -0.861024157209679 -0.796492479245283 -0.920263231320755 -0.839489055788679 -0.883740754528302 -0.840926888584906 -0.880037046603774 -0.872494088679245 -0.875417220943396 -0.822208399056604 -0.832476340792453 -0.845155225188679 -0.840351066122642 -0.867594717169811 -0.850586386603774 -0.91326910509434 -0.916556915849057
2 "LAYING" 0.264114613541667 -0.0176393190104167 -0.120408287854167 -0.320780139583333 -0.223595078097917 -0.3415096048125 0.871302285208333 -0.152990585645833 -0.10700896236875 -0.959982631041667 -0.951762131041667 -0.920986259375 0.0734242571604167 0.000338055633333332 -0.0358682814375 -0.416217241279167 -0.365935396 -0.621051163541667 -0.144890036152083 0.00290075007916667 0.13877830091875 -0.565009422133333 -0.53060858 -0.342736417208333 -0.0704504631520833 -0.05689176085 -0.081499082 -0.623079832708333 -0.710663874583333 -0.604363637083333 -0.239906188791667 -0.363600853729167 -0.239906188791667 -0.363600853729167 -0.443364779166667 -0.38517873866875 -0.3477103156 -0.477439325416667 -0.665192048958333 -0.702665240833333 -0.370198341104167 -0.26837381275 -0.452845802708333 -0.304222458083333 -0.2545629028125 -0.3381041351875 -0.435501799047917 -0.386732759208333 -0.588692363541667 -0.449362586060417 -0.38935571148125 -0.652659595625 -0.51352630806875 -0.572652767708333 -0.416686392041667 -0.586033990760417 -0.512199524604167 -0.384590026 -0.364991676458333 -0.462701130979167 -0.376657149572917 -0.40073582350625 -0.56638994375 -0.510864310990208 -0.705757553333333 -0.720032311666667
2 "SITTING" 0.286864284565217 -0.0179179147897826 -0.115336064161739 -0.60794540873913 -0.523818320686957 -0.681909131521739 0.851531431217391 -0.0567294143695652 0.0396688639130435 -0.974486125434783 -0.965580335652174 -0.967599145869565 0.0418297148717391 -0.00760586637391304 -0.0167081431404565 -0.654111168695652 -0.595548565215217 -0.801543769565217 -0.0479641766652174 -0.0544367145695652 0.0951066554891304 -0.760280699130435 -0.70213519576087 -0.727512712173913 -0.116414562632609 -0.010269271826087 -0.0356460111084783 -0.769610995 -0.83984091326087 -0.788967661304348 -0.56322777326087 -0.628516812695652 -0.56322777326087 -0.628516812695652 -0.661140753630435 -0.646202667608696 -0.665217078173913 -0.722423806086957 -0.806651718043478 -0.846546429565217 -0.618385809543478 -0.543799475234783 -0.727405633695652 -0.604711352804348 -0.54389078476087 -0.684968384565217 -0.673714780843478 -0.625530733626087 -0.783344320652174 -0.664604610586957 -0.59011222061087 -0.818658029130435 -0.720863573478261 -0.750107090434783 -0.710408811086957 -0.773604969347826 -0.680546179 -0.758746016304348 -0.630403284130435 -0.685674518369565 -0.638658190652174 -0.659897356956522 -0.75808776826087 -0.747664656304348 -0.848510138478261 -0.855212247608696
2 "STANDING" 0.266266668018519 -0.0206135023743148 -0.125183007759259 -0.529436103685185 -0.413256750962963 -0.541106496714815 0.245259273888889 0.212787698333333 0.288748502277778 -0.960341145925926 -0.966860556851852 -0.935357806481481 0.0593801052887037 0.0355217828222222 0.0178362996633333 -0.500335405277778 -0.456555881918519 -0.632702342407407 -0.0233378924092593 -0.0785690322 0.0819584081944444 -0.659928524074074 -0.575951147962963 -0.561256586333333 -0.115628858074074 -0.0428574213333333 -0.0750474190185185 -0.603443669074074 -0.665390413481481 -0.649615654427778 -0.463621551655556 -0.550233563537037 -0.463621551655556 -0.550233563537037 -0.490774827133333 -0.517106415111111 -0.506596755166667 -0.608295256835185 -0.633462297166667 -0.694997680590741 -0.53646692299463 -0.423568505348148 -0.553558657222222 -0.528211187796296 -0.445337704380556 -0.572442178833333 -0.523006840383333 -0.491307485342593 -0.604246881666667 -0.523499065837037 -0.455361588537037 -0.659922686296296 -0.567063889259259 -0.563931027111111 -0.52446231087037 -0.690623927592593 -0.588388635522222 -0.615469126685185 -0.486799367627778 -0.661864744925926 -0.493965752177778 -0.558323453092593 -0.607454109666667 -0.679119560981482 -0.6882769095 -0.729279113481481
2 "WALKING" 0.285529481694915 -0.0210188802902881 -0.104123777932203 -0.492505214135593 -0.555315463779661 -0.484289674888136 0.63484812661017 0.0895811739351864 0.00364585001694915 -0.967991031186441 -0.958016261355932 -0.943385932881356 0.101791919711864 -0.0111780818508475 -0.032700293140339 -0.531973966130509 -0.625953880338983 -0.683811209254237 -0.0424556975233898 -0.0718541613338983 0.106028029491525 -0.667782319152542 -0.662403376440678 -0.54998583193322 -0.11621126270678 -0.0557749249711864 -0.0656365499559322 -0.746121599491525 -0.736274307118644 -0.708372521186441 -0.464821208367797 -0.459458418350169 -0.464821208367797 -0.459458418350169 -0.585483426372881 -0.52384679040339 -0.546276997738983 -0.629768147288136 -0.736311464745763 -0.738508588135593 -0.513276667859322 -0.571111643949153 -0.54968433209661 -0.486805791237288 -0.577598048525424 -0.490386511245763 -0.56440718510678 -0.639753048118644 -0.655839923813559 -0.54139228240678 -0.637834619169492 -0.71063585559322 -0.635234596322034 -0.662658090322034 -0.588315553215254 -0.682076108440678 -0.666919664237288 -0.581802826237288 -0.467689883 -0.540568930101695 -0.5243495705 -0.527602457330508 -0.664044818644068 -0.673424692966102 -0.739022458644068 -0.75669197559322
